frequency[Hz],gain (multiply value)
389.6163933,0.792400406
395.6726066,0.780084207
401.7288199,0.768000166
408.1214898,0.755493771
414.1777031,0.743878562
420.9068295,0.731234955
427.2994993,0.719475425
434.0286257,0.707357908
440.7577521,0.695503557
447.4868785,0.683907724
454.5524592,0.672005151
461.6180421,0.660376823
468.6836251,0.649017129
476.0856623,0.637398476
483.4877018,0.626061957
490.8897391,0.615001077
498.6282351,0.603725124
506.3667289,0.59273602
514.1052249,0.582026487
522.1801752,0.57114161
530.2551278,0.560545244
538.3300781,0.550229453
546.741485,0.539773781
555.1528941,0.529605441
563.9007575,0.519326073
572.648621,0.509339025
581.3964844,0.499635221
590.4808043,0.489848508
599.9015808,0.480001581
608.9859008,0.470788144
618.4066773,0.461515901
628.1639104,0.452205326
637.9211434,0.443182292
647.6783742,0.434436612
657.7720638,0.42567076
668.20221,0.416902332
678.6323539,0.408417247
689.0625,0.400204782
699.8291027,0.392002435
710.5957031,0.384068725
721.6987601,0.376157407
732.8018193,0.368509714
744.2413329,0.360894913
755.6808464,0.35353783
767.4568187,0.346222489
779.5692453,0.338959937
791.6816719,0.331951632
803.7940986,0.325186759
816.2429817,0.31847681
829.0283214,0.311830669
841.8136589,0.30542208
854.9354552,0.299080923
868.3937079,0.292814483
881.8519585,0.286777493
895.6466678,0.280816839
909.4413749,0.275075741
923.5725408,0.269411775
938.040161,0.263830059
952.5077812,0.258457715
967.3118579,0.253166938
982.4523934,0.247961707
997.5929267,0.242954625
1013.069916,0.238031226
1028.883363,0.233194514
1044.696807,0.228544081
1061.183166,0.223884332
1077.669526,0.219407574
1094.49234,0.215018661
1111.315156,0.210801748
1128.474426,0.206668837
1146.306609,0.202544902
1164.138795,0.198586435
1181.970978,0.194784994
1200.476075,0.190997645
1218.981171,0.187362541
1238.159181,0.18374757
1257.337188,0.18027959
1276.851654,0.176893764
1296.702575,0.173589821
1316.889954,0.170367329
1337.413787,0.16722571
1357.937623,0.16421262
1379.13437,0.161228501
1400.667573,0.158322863
1422.537232,0.155494676
1444.406892,0.152783646
1466.949463,0.150105221
1489.828492,0.147500746
1513.043976,0.144968905
1536.595918,0.142508335
1560.484315,0.140117631
1584.709168,0.137795356
1609.270478,0.135540045
1634.168244,0.133350217
1659.738923,0.131196641
1685.309601,0.129134444
1711.553193,0.127107734
1738.13324,0.125142587
1765.3862,0.123214064
1792.63916,0.121368116
1820.565033,0.119557457
1848.827362,0.117803664
1877.762605,0.116085506
1906.697845,0.114441251
1936.642455,0.112813061
1966.587067,0.111255343
1997.20459,0.109731359
2028.15857,0.10825729
2059.785461,0.106816475
2091.74881,0.105423581
2124.38507,0.104063233
2157.357789,0.102748727
2191.003419,0.101465875
2224.985505,0.100226729
2259.640502,0.09901821
2294.631958,0.097851242
2330.296325,0.096713769
2366.633607,0.095605663
2403.307343,0.094536322
2440.653993,0.093495061
2478.673553,0.092481633
2517.366029,0.091495743
2556.394959,0.090545064
2596.096802,0.089620503
2636.471558,0.088721695
2677.519227,0.087848247
2719.239807,0.086999737
2761.296844,0.086182116
2804.36325,0.085381847
2847.766113,0.084610982
2892.178345,0.083857085
2937.263488,0.08312576
2982.685088,0.082421595
3029.116058,0.081733644
3076.21994,0.081066719
3123.996736,0.080420293
3172.782899,0.079789588
3221.905518,0.07918277
3272.037505,0.078590984
3322.842408,0.078017939
3374.656677,0.077459553
3427.14386,0.076919155
3480.303956,0.076396202
3534.473419,0.075887067
3589.652252,0.075391642
3645.167541,0.074915431
3702.028655,0.074449435
3759.562683,0.073999016
3818.10608,0.07356119
3877.322389,0.073138122
3937.548065,0.072727057
3998.783111,0.072327796
4061.027527,0.071940133
4124.28131,0.07156385
4188.208009,0.071200587
4253.480529,0.070846293
4319.762421,0.070502683
4386.717224,0.070171144
4455.017853,0.069848098
4524.32785,0.069535003
4594.647218,0.069231609
4665.975952,0.068937667
4738.650514,0.068651632
4812.334443,0.068374666
4887.02774,0.068106516
4963.066865,0.0678458
5040.451814,0.067592424
5118.84613,0.067347308
5198.249817,0.067110198
5278.999329,0.066879907
5361.094665,0.066656316
5444.535827,0.066439303
5529.322816,0.066228739
5615.119172,0.066025269
5702.597808,0.065827164
5791.422271,0.0656351
5881.256103,0.065449615
5972.772218,0.065269179
6065.634155,0.065094358
6159.84192,0.064925009
6255.731963,0.064760425
6352.967835,0.064601078
6451.885987,0.064446309
6552.149963,0.064296532
6654.096222,0.064151134
6757.388305,0.064010485
6862.699127,0.063873583
6969.355773,0.063741221
7077.694702,0.063612864
7187.715913,0.063488427
7299.419403,0.063367818
7413.141632,0.06325061
7528.209687,0.063137405
7645.296479,0.063027447
7764.402008,0.062920688
7885.18982,0.062817357
8007.659912,0.062717359
8132.148742,0.062620344
8258.65631,0.062526257
8387.182618,0.062435037
8517.391204,0.062346848
8649.954986,0.06226117
8784.537505,0.062178178
8921.138764,0.062097804
9059.758759,0.062019987
9200.73395,0.061944488
9343.72788,0.061871434
9489.076995,0.061800601
9636.78131,0.061731947
9786.504365,0.061665575
9938.582609,0.061601282
10093.3525,0.06153889
10250.14114,0.061478627
10409.62143,0.061420187
10571.45691,0.061363658
10735.98404,0.061308882
10902.86636,0.061255936
11072.44034,0.061204672
11244.70596,0.061155058
11419.32678,0.061107152
11596.97571,0.061060736
11777.31629,0.061015872
11960.68497,0.060972447
12146.40884,0.060930588
12335.49728,0.060890038
12527.27738,0.060850919
12722.08557,0.060813132
12919.92188,0.060776655
13120.78629,0.060741461
13325.01526,0.060707472
13531.93589,0.060674776
13742.55752,0.060643194
13956.20728,0.060612808
14173.22159,0.060583551
14393.60047,0.060555406
14617.68036,0.060528315
14844.78836,0.060502346
15075.59739,0.060477402
15310.10742,0.060453475
15548.31848,0.060430554
15790.23056,0.060408628
16035.5072,0.060387716
16285.15778,0.060367726
16538.17291,0.060348732
16795.56198,0.060330652
17056.65207,0.060313531
17321.77964,0.060297343
17591.28113,0.060282067
17864.8201,0.060267724
18142.733,0.0602543
22050,0.060062119
